Record_ID,Place,Zone,Police_Station,Crime_Type,Severity,Victim_Gender,Victim_Age_Group,Time_of_Crime,Day_of_Week,Month,Year,Weapon_Used,Number_of_Accused,Reported_Within_24h,Case_Status,Additional_Details,Data_Source
NGP-SYN-0185,Khapri,Zone V,Khapri,Cyber Fraud,Medium,Not Specified,18-25,Night (7-11 PM),Friday,March,2023,Blunt Object,1,Yes,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0186,Kapil Nagar,Zone V,Kapil Nagar,Theft,Low,Female,46-60,Night (7-11 PM),Wednesday,October,2025,None,1,No,Case Closed - Acquitted,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0187,Gandhibagh,Zone III,Gandhibagh,Chain Snatching,Medium,Male,18-25,Early Morning (4-7 AM),Friday,July,2024,None,1,No,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0188,Civil Lines,Zone II,Civil Lines,Assault,Medium,Male,26-35,Morning (7-11 AM),Wednesday,August,2026,Blunt Object,Unknown,Yes,Chargesheet Filed,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0189,Pratap Nagar,Zone I,Pratap Nagar,Cyber Fraud,Medium,Female,26-35,Night (7-11 PM),Monday,August,2026,None,1,No,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0190,Hudkeshwar,Zone IV,Hudkeshwar,Chain Snatching,Medium,Female,18-25,Late Night (11 PM-4 AM),Wednesday,July,2025,Knife/Sharp Weapon,Unknown,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0191,Itwari,Zone III,Itwari,Motor Vehicle Theft,Medium,Female,18-25,Afternoon (11 AM-3 PM),Wednesday,January,2024,Blunt Object,3,Yes,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0192,Bajeria,Zone III,Bajeria,Theft,Low,Not Specified,46-60,Evening (3-7 PM),Thursday,December,2024,None,2,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0193,Friends Colony,Zone IV,Friends Colony,Burglary,Medium,Male,26-35,Afternoon (11 AM-3 PM),Thursday,October,2026,Blunt Object,2,No,Case Pending,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0194,Pipla,Zone V,Pipla,Motor Vehicle Theft,Medium,Male,18-25,Late Night (11 PM-4 AM),Monday,July,2024,None/Physical Force,1,No,Case Closed - Convicted,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0195,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Theft,Low,Male,18-25,Late Night (11 PM-4 AM),Wednesday,September,2023,None,1,Yes,Case Closed - Acquitted,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0196,Gandhibagh,Zone III,Gandhibagh,Theft,Low,Male,46-60,Afternoon (11 AM-3 PM),Sunday,August,2024,None,4,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0197,Bajeria,Zone III,Bajeria,Theft,Low,Male,46-60,Evening (3-7 PM),Saturday,December,2023,None,4,Yes,Absconding Accused,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0198,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,House Break-in,Medium,Male,18-25,Afternoon (11 AM-3 PM),Friday,January,2023,Blunt Object,3,Yes,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0199,Mahal,Zone VI (Gandhibagh),Mahal,Chain Snatching,Medium,Male,36-45,Evening (3-7 PM),Saturday,August,2024,Blunt Object,1,Yes,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0200,Sitabuldi,Zone III,Sitabuldi,Grievous Hurt,High,Male,36-45,Late Night (11 PM-4 AM),Friday,October,2026,Blunt Object,1,Yes,Absconding Accused,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0201,Gandhinagar,Other,Gandhinagar,Theft,Low,Male,26-35,Late Night (11 PM-4 AM),Friday,December,2025,None,2,Yes,Chargesheet Filed,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0202,Manish Nagar,Zone IV,Manish Nagar,House Break-in,Medium,Female,36-45,Night (7-11 PM),Thursday,April,2025,None,Unknown,Yes,Case Closed - Convicted,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0203,Byramji Town,Other,Byramji Town,Theft,Low,Male,46-60,Late Night (11 PM-4 AM),Tuesday,November,2023,None,Unknown,Yes,FIR Registered - Under Investigation,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0204,Gaddi Godam,Zone III,Gaddi Godam,Chain Snatching,Medium,Female,18-25,Afternoon (11 AM-3 PM),Tuesday,August,2025,Blunt Object,2,Yes,Under Trial,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0205,Tehsil,Zone VI (Gandhibagh),Tehsil,Cyber Fraud,Medium,Male,36-45,Morning (7-11 AM),Thursday,September,2026,Blunt Object,2,No,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0206,Nandanvan,Zone IV,Nandanvan,Chain Snatching,Medium,Female,18-25,Late Night (11 PM-4 AM),Monday,January,2025,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0207,Hingna,Zone I,Hingna,Burglary,Medium,Female,26-35,Evening (3-7 PM),Thursday,January,2023,Knife/Sharp Weapon,3,Yes,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0208,Imambada,Zone VI (Gandhibagh),Imambada,Burglary,Medium,Male,60+,Night (7-11 PM),Wednesday,January,2025,None,2,Yes,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0209,Imambada,Zone VI (Gandhibagh),Imambada,Fatal Road Accident (Rash Driving),High,Male,36-45,Morning (7-11 AM),Wednesday,May,2026,Firearm,2,No,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0210,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Murder,High,Male,46-60,Late Night (11 PM-4 AM),Wednesday,June,2023,Vehicle,2,Yes,Chargesheet Filed,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0211,Mankapur,Other,Mankapur,House Break-in,Medium,Male,18-25,Early Morning (4-7 AM),Thursday,August,2026,None,Unknown,No,Absconding Accused,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0212,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Robbery,High,Male,18-25,Night (7-11 PM),Sunday,January,2024,None/Physical Force,1,Yes,Case Closed - Acquitted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0213,Kalyan Nagar,Zone I,Kalyan Nagar,House Break-in,Medium,Female,Under 18,Morning (7-11 AM),Monday,June,2024,None/Physical Force,Unknown,Yes,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0214,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Chain Snatching,Medium,Female,26-35,Afternoon (11 AM-3 PM),Wednesday,September,2025,Knife/Sharp Weapon,Unknown,Yes,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0215,Chaoni,Other,Chaoni,Illegal Weapons Possession,Medium,Male,36-45,Late Night (11 PM-4 AM),Wednesday,November,2024,None/Physical Force,Unknown,Yes,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0216,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Cyber Fraud,Medium,Male,26-35,Late Night (11 PM-4 AM),Thursday,December,2024,None/Physical Force,2,Yes,Under Trial,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0217,Jaripatka,Zone V,Jaripatka,House Break-in,Medium,Female,26-35,Night (7-11 PM),Friday,April,2024,None,4,Yes,FIR Registered - Under Investigation,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0218,Pratap Nagar,Zone I,Pratap Nagar,Burglary,Medium,Not Specified,36-45,Night (7-11 PM),Saturday,October,2024,Blunt Object,Unknown,No,Case Closed - Convicted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0219,Bhandewadi,Other,Bhandewadi,Fraud,Medium,Male,18-25,Late Night (11 PM-4 AM),Monday,September,2026,None/Physical Force,1,No,Case Closed - Acquitted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0220,Shraddhanand Peth,Zone II,Shraddhanand Peth,Chain Snatching,Medium,Male,18-25,Late Night (11 PM-4 AM),Monday,January,2023,None/Physical Force,1,Yes,Chargesheet Filed,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0221,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Burglary,Medium,Female,Under 18,Late Night (11 PM-4 AM),Tuesday,June,2026,Blunt Object,1,No,Case Closed - Convicted,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0222,Mahal,Zone VI (Gandhibagh),Mahal,Eve Teasing / Harassment,Low,Female,26-35,Morning (7-11 AM),Wednesday,October,2023,None,1,Yes,Under Trial,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0223,Pratap Nagar,Zone I,Pratap Nagar,Robbery,High,Male,36-45,Evening (3-7 PM),Sunday,February,2025,Firearm,1,Yes,Under Trial,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0224,Shraddhanand Peth,Zone II,Shraddhanand Peth,Burglary,Medium,Male,36-45,Late Night (11 PM-4 AM),Sunday,December,2024,Blunt Object,1,Yes,Case Closed - Convicted,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0225,Dharampeth,Zone II,Dharampeth,Theft,Low,Not Specified,Under 18,Evening (3-7 PM),Saturday,November,2025,None,2,Yes,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0226,Suyog Nagar,Other,Suyog Nagar,Chain Snatching,Medium,Female,60+,Afternoon (11 AM-3 PM),Tuesday,May,2025,None/Physical Force,1,Yes,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0227,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,NDPS (Narcotics),Medium,Female,26-35,Night (7-11 PM),Wednesday,August,2024,Knife/Sharp Weapon,2,Yes,Chargesheet Filed,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0228,Hingna,Zone I,Hingna,Cybercrime (OTP/Loan App Fraud),Medium,Male,18-25,Afternoon (11 AM-3 PM),Tuesday,October,2025,Knife/Sharp Weapon,2,Yes,Chargesheet Filed,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0229,Byramji Town,Other,Byramji Town,Gambling,Low,Female,36-45,Night (7-11 PM),Sunday,April,2026,None,2,No,Under Trial,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0230,Gandhinagar,Other,Gandhinagar,Burglary,Medium,Female,36-45,Night (7-11 PM),Monday,June,2025,Knife/Sharp Weapon,1,Yes,Under Trial,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0231,Friends Colony,Zone IV,Friends Colony,Cybercrime (OTP/Loan App Fraud),Medium,Female,46-60,Late Night (11 PM-4 AM),Thursday,November,2024,Knife/Sharp Weapon,2,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0232,Shraddhanand Peth,Zone II,Shraddhanand Peth,Burglary,Medium,Male,36-45,Morning (7-11 AM),Monday,June,2025,Knife/Sharp Weapon,1,Yes,Under Trial,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0233,Godhni,Zone V,Godhni,Chain Snatching,Medium,Male,36-45,Evening (3-7 PM),Wednesday,August,2026,None,1,Yes,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0234,Ravi Nagar,Zone II,Ravi Nagar,Theft,Low,Male,Under 18,Afternoon (11 AM-3 PM),Wednesday,October,2024,None,1,Yes,Chargesheet Filed,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0235,Hingna,Zone I,Hingna,Mobile Phone Snatching,Low,Not Specified,Under 18,Early Morning (4-7 AM),Friday,May,2023,None,2,No,Under Trial,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0236,Ramdaspeth,Zone II,Ramdaspeth,Fatal Road Accident (Rash Driving),High,Female,Under 18,Late Night (11 PM-4 AM),Tuesday,June,2025,None/Physical Force,3,No,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0237,Godhni,Zone V,Godhni,Theft,Low,Female,26-35,Late Night (11 PM-4 AM),Friday,June,2023,None,1,No,Under Trial,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0238,Tehsil,Zone VI (Gandhibagh),Tehsil,Assault,Medium,Male,18-25,Morning (7-11 AM),Sunday,June,2026,Blunt Object,2,Yes,Case Closed - Convicted,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0239,Besa,Zone V,Besa,Robbery,High,Not Specified,18-25,Night (7-11 PM),Sunday,January,2025,Vehicle,3,Yes,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0240,Friends Colony,Zone IV,Friends Colony,Cybercrime (OTP/Loan App Fraud),Medium,Male,26-35,Evening (3-7 PM),Monday,August,2023,Knife/Sharp Weapon,Unknown,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0241,Sakkardara,Zone VI (Gandhibagh),Sakkardara,Chain Snatching,Medium,Female,Under 18,Late Night (11 PM-4 AM),Friday,September,2023,None/Physical Force,1,Yes,Case Closed - Acquitted,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0242,Bajeria,Zone III,Bajeria,Fatal Road Accident (Rash Driving),High,Male,46-60,Late Night (11 PM-4 AM),Tuesday,December,2024,Knife/Sharp Weapon,2,No,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0243,Gaddi Godam,Zone III,Gaddi Godam,Assault,Medium,Female,36-45,Afternoon (11 AM-3 PM),Sunday,February,2025,None/Physical Force,2,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0244,Shraddhanand Peth,Zone II,Shraddhanand Peth,House Break-in,Medium,Female,46-60,Evening (3-7 PM),Thursday,December,2023,Blunt Object,1,Yes,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0245,Imambada,Zone VI (Gandhibagh),Imambada,Eve Teasing / Harassment,Low,Female,26-35,Late Night (11 PM-4 AM),Sunday,May,2026,None,1,No,Chargesheet Filed,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0246,Nandanvan,Zone IV,Nandanvan,Burglary,Medium,Male,36-45,Morning (7-11 AM),Sunday,April,2023,None,3,Yes,FIR Registered - Under Investigation,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0247,Dharampeth,Zone II,Dharampeth,Human Trafficking,High,Female,18-25,Late Night (11 PM-4 AM),Tuesday,January,2023,Firearm,3,Yes,Under Trial,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0248,Dharampeth,Zone II,Dharampeth,Theft,Low,Female,26-35,Morning (7-11 AM),Friday,January,2026,None,2,Yes,Absconding Accused,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0249,Shraddhanand Peth,Zone II,Shraddhanand Peth,Theft,Low,Not Specified,26-35,Afternoon (11 AM-3 PM),Monday,June,2023,None,2,Yes,Under Trial,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0250,Ajni,Zone IV,Ajni,Theft,Low,Male,26-35,Afternoon (11 AM-3 PM),Wednesday,February,2026,None,Unknown,No,Case Closed - Convicted,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0251,Bajaj Nagar,Zone I,Bajaj Nagar,Mobile Phone Snatching,Low,Male,18-25,Early Morning (4-7 AM),Wednesday,September,2023,None,2,Yes,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0252,Khapri,Zone V,Khapri,Assault,Medium,Not Specified,26-35,Evening (3-7 PM),Thursday,July,2024,Knife/Sharp Weapon,1,Yes,Chargesheet Filed,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0253,Ravi Nagar,Zone II,Ravi Nagar,Motor Vehicle Theft,Medium,Male,26-35,Afternoon (11 AM-3 PM),Sunday,April,2025,Knife/Sharp Weapon,1,Yes,Under Trial,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0254,Wadi,Zone I,Wadi,Assault,Medium,Female,18-25,Night (7-11 PM),Monday,October,2024,None,4,No,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0255,Jaripatka,Zone V,Jaripatka,Cyber Fraud,Medium,Male,46-60,Late Night (11 PM-4 AM),Wednesday,September,2023,None,4,Yes,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0256,Seminary Hills,Other,Seminary Hills,Theft,Low,Not Specified,18-25,Late Night (11 PM-4 AM),Thursday,October,2024,None,1,Yes,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0257,Godhni,Zone V,Godhni,Fatal Road Accident (Rash Driving),High,Not Specified,18-25,Afternoon (11 AM-3 PM),Thursday,November,2023,Blunt Object,4,Yes,FIR Registered - Under Investigation,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0258,Khaparkheda,Other,Khaparkheda,Murder,High,Female,46-60,Evening (3-7 PM),Thursday,May,2023,None/Physical Force,2,Yes,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0259,Gitti Khadan,Zone III,Gitti Khadan,Fraud,Medium,Male,18-25,Afternoon (11 AM-3 PM),Saturday,August,2024,None,2,Yes,Under Trial,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0260,Ramdaspeth,Zone II,Ramdaspeth,Theft,Low,Female,18-25,Night (7-11 PM),Monday,May,2026,None,2,Yes,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0261,Ramdaspeth,Zone II,Ramdaspeth,Theft,Low,Not Specified,18-25,Afternoon (11 AM-3 PM),Saturday,September,2024,None,1,No,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0262,Indora,Other,Indora,Motor Vehicle Theft,Medium,Not Specified,46-60,Late Night (11 PM-4 AM),Thursday,May,2023,None,3,Yes,Chargesheet Filed,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0263,Nandanvan,Zone IV,Nandanvan,House Break-in,Medium,Not Specified,36-45,Morning (7-11 AM),Monday,February,2024,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0264,Mahal,Zone VI (Gandhibagh),Mahal,Motor Vehicle Theft,Medium,Male,26-35,Night (7-11 PM),Tuesday,August,2024,None,2,Yes,Under Trial,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0265,Kalmeshwar,Other,Kalmeshwar,Cyber Fraud,Medium,Male,26-35,Late Night (11 PM-4 AM),Sunday,June,2024,None/Physical Force,1,No,Absconding Accused,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0266,Wadi,Zone I,Wadi,Mobile Phone Snatching,Low,Male,46-60,Evening (3-7 PM),Tuesday,November,2023,None,4,Yes,Case Closed - Convicted,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0267,Kotwali,Zone VI (Gandhibagh),Kotwali,Fraud,Medium,Not Specified,26-35,Morning (7-11 AM),Tuesday,June,2023,None/Physical Force,1,No,Under Trial,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0268,Khapri,Zone V,Khapri,Fraud,Medium,Male,18-25,Evening (3-7 PM),Saturday,July,2025,Knife/Sharp Weapon,1,Yes,Case Closed - Convicted,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0269,Nandanvan,Zone IV,Nandanvan,House Break-in,Medium,Not Specified,18-25,Afternoon (11 AM-3 PM),Saturday,August,2025,None/Physical Force,1,No,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0270,Itwari,Zone III,Itwari,Fatal Road Accident (Rash Driving),High,Female,26-35,Late Night (11 PM-4 AM),Thursday,February,2023,Firearm,1,No,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0271,Beltarodi,Zone IV,Beltarodi,Mobile Phone Snatching,Low,Male,46-60,Night (7-11 PM),Tuesday,April,2025,None,4,Yes,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0272,Giripeth,Zone II,Giripeth,Theft,Low,Male,26-35,Late Night (11 PM-4 AM),Thursday,March,2025,None,2,Yes,Absconding Accused,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0273,Shraddhanand Peth,Zone II,Shraddhanand Peth,Burglary,Medium,Male,46-60,Morning (7-11 AM),Sunday,April,2025,Blunt Object,1,No,Case Closed - Convicted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0274,Gitti Khadan,Zone III,Gitti Khadan,Assault,Medium,Female,Under 18,Morning (7-11 AM),Sunday,May,2026,Blunt Object,3,No,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0275,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Molestation,High,Female,18-25,Late Night (11 PM-4 AM),Thursday,April,2026,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0276,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Burglary,Medium,Male,36-45,Evening (3-7 PM),Sunday,January,2024,None,Unknown,Yes,Chargesheet Filed,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0277,Yashodhara Nagar,Zone V,Yashodhara Nagar,Cybercrime (OTP/Loan App Fraud),Medium,Male,Under 18,Evening (3-7 PM),Thursday,April,2026,None,2,No,Absconding Accused,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0278,Pratap Nagar,Zone I,Pratap Nagar,Fraud,Medium,Male,36-45,Evening (3-7 PM),Friday,October,2024,Blunt Object,1,No,Case Closed - Convicted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0279,Imambada,Zone VI (Gandhibagh),Imambada,Fatal Road Accident (Rash Driving),High,Male,26-35,Morning (7-11 AM),Monday,March,2025,None/Physical Force,3,No,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0280,Ajni,Zone IV,Ajni,Domestic Violence / Cruelty by Relatives,Medium,Not Specified,18-25,Morning (7-11 AM),Friday,September,2023,None,2,Yes,Chargesheet Filed,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0281,Rajendra Nagar,Other,Rajendra Nagar,Motor Vehicle Theft,Medium,Male,36-45,Evening (3-7 PM),Wednesday,February,2025,Blunt Object,4,No,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
